"Longitude","Latitude","Accident_Severity","Weather_Conditions","Light_Conditions","Road_Surface_Conditions","Speed_limit","Urban_or_Rural_Area","Number_of_Casualties","Number_of_Vehicles","Day_of_Week","Month","TimeOfDay","Cluster","DistanceToCenter"
-0.267737,51.600824,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Afternoon",1,14286.656574721
0.043004,51.600682,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Afternoon",1,17076.1645672713
0.151477,51.54011,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Afternoon",1,20825.3794163639
0.122309,51.557907,"0","Raining no high winds","Daylight","Wet or damp",30,"Urban",2,2,"niedziela","01","Afternoon",1,19430.5925768957
-0.374592,51.455057,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,1,"niedziela","01","Afternoon",1,16864.5724095569
-0.127832,51.487977,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Rural",1,2,"niedziela","01","Evening",1,1575.88870448254
-0.013419,51.469098,"0","Raining no high winds","Darkness - lights lit","Wet or damp",20,"Urban",1,2,"niedziela","01","Evening",1,9510.50605668851
-0.133147,51.400113,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Evening",1,11037.5229994166
-0.022419,51.590472,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Evening",1,13107.3699532413
0.090051,51.357496,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Evening",1,22530.7611750673
-0.229039,51.370306,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,1,"niedziela","01","Evening",1,15562.9785228736
-0.28521,51.501085,"0","Raining no high winds","Darkness - lights lit","Wet or damp",40,"Urban",1,2,"niedziela","01","Evening",1,9935.93563427973
-0.316061,51.555307,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",2,2,"niedziela","01","Evening",1,13589.4478636444
-0.377391,51.542502,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"poniedziałek","01","Night",1,17013.9394065426
-0.123411,51.500946,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",3,3,"niedziela","01","Evening",1,1294.93537344074
-0.102082,51.546106,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",5,2,"niedziela","01","Evening",1,5912.3045519544
-0.073012,51.500219,"0","Fine no high winds","Darkness - lights lit","Wet or damp",20,"Urban",1,1,"niedziela","01","Evening",1,4772.9737880409
-0.133968,51.510557,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,1,"poniedziałek","01","Night",1,1386.19138032724
-0.105487,51.457133,"0","Fog or mist","Darkness - lights lit","Wet or damp",20,"Urban",1,1,"poniedziałek","01","Night",1,5310.62178430166
0.113033,51.39809,"0","Raining no high winds","Daylight","Wet or damp",40,"Urban",1,2,"niedziela","01","Afternoon",1,20956.9181581754
-0.181539,51.5283,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"poniedziałek","01","Night",1,4255.45148238131
-0.240453,51.578208,"0","Other","Daylight","Dry",30,"Urban",1,2,"poniedziałek","01","Night",1,11140.7299059679
0.1029,51.402859,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"poniedziałek","01","Morning",1,20078.2133311557
-0.107402,51.382973,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"poniedziałek","01","Morning",1,13148.238762864
0.027906,51.5924,"0","Raining no high winds","Daylight","Wet or damp",30,"Urban",1,2,"poniedziałek","01","Morning",1,15683.3208887667
-0.363709,51.550045,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"poniedziałek","01","Afternoon",1,16377.650118566
-0.421865,51.495,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",2,4,"niedziela","01","Afternoon",1,19410.1094570174
-0.239432,51.500047,"0","Raining no high winds","Darkness - lights lit","Wet or damp",20,"Urban",1,1,"niedziela","01","Afternoon",1,6762.07244253988
-0.055062,51.546144,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"poniedziałek","01","Afternoon",1,7972.09127982055
-0.172563,51.532837,"0","Snowing no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Evening",1,4314.34418708822
0.172301,51.480732,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Afternoon",1,21871.8095387675
-0.025557,51.511389,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"poniedziałek","01","Afternoon",1,8173.95665629272
-0.349811,51.471706,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"poniedziałek","01","Morning",1,14734.2636075571
-0.066531,51.571603,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"poniedziałek","01","Afternoon",1,9608.52260746452
0.036426,51.479394,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",4,2,"poniedziałek","01","Afternoon",1,12551.5979097921
-0.360856,51.476897,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",2,2,"poniedziałek","01","Afternoon",1,15379.8330166303
0.000934,51.543674,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",3,6,"poniedziałek","01","Afternoon",1,11065.0728434613
-0.076106,51.570412,"0","Unknown","Daylight","Frost or ice",20,"Urban",1,1,"poniedziałek","01","Afternoon",1,9150.11649637445
-0.37246,51.466448,"0","Fine no high winds","Daylight","Dry",30,"Urban",6,3,"poniedziałek","01","Afternoon",1,16394.2384340577
-0.084956,51.634493,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"poniedziałek","01","Evening",1,15576.1166345028
-0.176713,51.526427,"0","Fine no high winds","Darkness - no lighting","Dry",30,"Urban",1,1,"poniedziałek","01","Afternoon",1,3882.23872967913
-0.102227,51.591161,"0","Fine no high winds","Darkness - lights lit","Dry",20,"Urban",1,1,"poniedziałek","01","Evening",1,10607.5105081009
-0.08227,51.578247,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,2,"poniedziałek","01","Evening",1,9727.38504907306
-0.157419,51.422169,"0","Fine no high winds","Daylight","Dry",20,"Urban",1,2,"poniedziałek","01","Afternoon",1,8633.34664974227
-0.190225,51.603702,"0","Other","Daylight","Dry",30,"Urban",1,1,"poniedziałek","01","Afternoon",1,12114.1676134242
-0.123804,51.449244,"0","Fine no high winds","Daylight","Wet or damp",20,"Urban",2,1,"poniedziałek","01","Afternoon",1,5691.18803124792
-0.214012,51.464771,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"poniedziałek","01","Afternoon",1,6295.52347999702
-0.193004,51.511841,"0","Other","Darkness - lights lit","Dry",30,"Urban",1,2,"poniedziałek","01","Evening",1,3816.083092475
-0.090264,51.525231,"0","Fine no high winds","Darkness - lights lit","Dry",20,"Urban",1,2,"wtorek","01","Night",1,4607.72567556055
0.098656,51.48594,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,2,"poniedziałek","01","Afternoon",1,16734.7346951472
-0.142648,51.591178,"0","Fine no high winds","Darkness - lights lit","Dry",20,"Urban",1,2,"wtorek","01","Night",1,10248.4608542426
-0.019211,51.528099,"0","Other","Darkness - lights lit","Frost or ice",30,"Urban",1,1,"wtorek","01","Night",1,9089.04316432186
0.26387,51.607961,"0","Fine no high winds","Daylight","Dry",60,"Rural",1,2,"poniedziałek","01","Morning",1,30585.8683961687
-0.494451,51.473744,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Rural",3,2,"poniedziałek","01","Afternoon",1,24603.4269515776
-0.148,51.523459,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,3,"wtorek","01","Night",1,2743.00609733506
-0.437325,51.577846,"0","Fine no high winds","Daylight","Frost or ice",30,"Urban",1,1,"wtorek","01","Morning",1,22255.7924724248
0.031551,51.398812,"0","Fine no high winds","Daylight","Frost or ice",30,"Urban",1,2,"wtorek","01","Morning",1,16413.8572762373
0.040759,51.347214,"0","Fine no high winds","Daylight","Frost or ice",30,"Urban",1,2,"wtorek","01","Morning",1,21133.7629842852
-0.410592,51.47947,"0","Fine no high winds","Daylight","Dry",30,"Urban",3,2,"wtorek","01","Morning",1,18754.5742603092
-0.139053,51.332491,"0","Fine no high winds","Daylight","Frost or ice",30,"Urban",1,2,"wtorek","01","Morning",1,18549.6148807065
0.094344,51.451574,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,1,"wtorek","01","Morning",1,17211.5039293257
0.223244,51.512422,"0","Fine no high winds","Darkness - no lighting","Frost or ice",60,"Rural",1,2,"wtorek","01","Night",1,25341.4088713388
0.143142,51.519219,"0","Fine no high winds","Daylight","Frost or ice",30,"Urban",2,2,"wtorek","01","Morning",1,19872.8211832063
-0.065975,51.584723,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"wtorek","01","Morning",1,10882.2062351859
-0.300841,51.386747,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,2,"wtorek","01","Morning",1,16677.6280774707
-0.055965,51.416573,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,1,"wtorek","01","Morning",1,10951.2888770488
-0.30131,51.409056,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,3,"poniedziałek","01","Afternoon",1,14927.8390553491
-0.064299,51.471208,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"wtorek","01","Afternoon",1,6209.87485441829
-0.087388,51.476893,"0","Fine no high winds","Daylight","Dry",20,"Urban",3,2,"wtorek","01","Afternoon",1,4514.30513235946
0.183946,51.573684,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"wtorek","01","Afternoon",1,24038.6607774067
0.023878,51.527723,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,1,"wtorek","01","Afternoon",1,11915.6845789455
-0.283069,51.561843,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,1,"wtorek","01","Afternoon",1,12015.8405266773
-0.183523,51.496587,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,2,"wtorek","01","Afternoon",1,2900.66182650454
-0.135064,51.554279,"0","Fine no high winds","Daylight","Dry",20,"Urban",1,2,"wtorek","01","Afternoon",1,6158.77627024037
0.102477,51.37481,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,1,"wtorek","01","Afternoon",1,21885.5953528451
0.181652,51.567971,"0","Fine no high winds","Darkness - lights lit","Dry",20,"Urban",2,2,"wtorek","01","Afternoon",1,23677.516423161
-0.120946,51.382112,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",2,2,"wtorek","01","Afternoon",1,13105.4337913925
-0.371408,51.467692,"0","Fine no high winds","Daylight","Dry",30,"Urban",2,2,"wtorek","01","Afternoon",1,16292.6300444349
-0.24185,51.579398,"0","Fine no high winds","Daylight","Frost or ice",30,"Urban",1,1,"wtorek","01","Afternoon",1,11304.6332366232
-0.266951,51.526625,"0","Fine no high winds","Darkness - lights lit","Dry",20,"Urban",1,2,"wtorek","01","Afternoon",1,9190.94462653526
-0.392631,51.55611,"0","Fine no high winds","Darkness - lights lit","Frost or ice",30,"Urban",2,2,"poniedziałek","01","Evening",1,18489.6796686045
-0.261261,51.615386,"0","Other","Daylight","Dry",30,"Urban",1,1,"wtorek","01","Afternoon",1,15356.1243891828
0.017642,51.406157,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,1,"poniedziałek","01","Afternoon",1,15149.8314502713
-0.294446,51.573968,"0","Other","Darkness - lights lit","Dry",30,"Urban",1,2,"wtorek","01","Afternoon",1,13455.5509328763
-0.028623,51.376818,"0","Fine no high winds","Darkness - lighting unknown","Dry",30,"Urban",1,1,"wtorek","01","Afternoon",1,15719.2292477238
-0.199645,51.591887,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,2,"wtorek","01","Evening",1,11074.8537063468
-0.054039,51.390822,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",2,2,"wtorek","01","Afternoon",1,13507.7284891637
-0.220052,51.535186,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,4,"wtorek","01","Evening",1,6742.23853502605
-0.096655,51.371828,"0","Other","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"wtorek","01","Evening",1,14512.7894915245
-0.12977,51.465257,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,1,"wtorek","01","Evening",1,3861.27953790034
0.11022,51.56478,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,2,"wtorek","01","Evening",1,18925.3405287732
-0.129903,51.430277,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,2,"środa","01","Night",1,7707.87152219248
-0.094213,51.478983,"0","Fine no high winds","Darkness - lights lit","Dry",20,"Urban",1,2,"wtorek","01","Evening",1,3991.5452840967
-0.289678,51.412483,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"wtorek","01","Morning",1,14075.9009612018
-0.173431,51.514775,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"środa","01","Morning",1,2796.83012924183
-0.422704,51.466505,"0","Fine no high winds","Darkness - lights lit","Wet or damp",40,"Urban",1,3,"środa","01","Morning",1,19804.484866262
-0.157718,51.521993,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"środa","01","Night",1,2773.43299445393
-0.113332,51.587923,"0","Fine no high winds","Daylight","Dry",20,"Urban",1,1,"środa","01","Morning",1,10081.3962972915
0.013494,51.478621,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,2,"środa","01","Morning",1,11007.7051881765
-0.125018,51.598631,"0","Fine no high winds","Daylight","Dry",20,"Urban",1,1,"środa","01","Morning",1,11139.1957790021
-0.072907,51.570989,"0","Fine no high winds","Daylight","Dry",20,"Urban",1,2,"środa","01","Morning",1,9317.42599797909
-0.08129,51.526074,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"środa","01","Morning",1,5159.15385628098
-0.167949,51.407046,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"środa","01","Morning",1,10407.6624181669
-0.042165,51.510589,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,1,"środa","01","Morning",1,7025.32936260207
0.141123,51.580677,"0","Fine no high winds","Darkness - lights lit","Wet or damp",50,"Urban",2,2,"wtorek","01","Afternoon",1,21594.7180064526
-0.416678,51.578109,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"środa","01","Morning",1,20961.5012032106
-0.093573,51.504691,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,3,"środa","01","Morning",1,3403.44781961092
0.109228,51.527748,"0","Unknown","Daylight","Wet or damp",30,"Urban",1,1,"środa","01","Morning",1,17684.6881709434
-0.476211,51.537083,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"środa","01","Morning",1,23542.7897823606
-0.121181,51.467547,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"środa","01","Morning",1,3795.488765993
-0.096003,51.446368,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"środa","01","Morning",1,6677.6714413266
0.175308,51.583197,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,1,"wtorek","01","Morning",1,23871.1019899023
-0.278929,51.610341,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"środa","01","Afternoon",1,15598.168496422
0.140211,51.530514,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,1,"środa","01","Afternoon",1,19851.0510954399
-0.106555,51.326844,"0","Unknown","Daylight","Dry",30,"Urban",1,1,"wtorek","01","Afternoon",1,19333.2740349907
0.152176,51.447919,"0","Fine no high winds","Daylight","Wet or damp",50,"Urban",1,2,"środa","01","Afternoon",1,21169.8383330245
-0.405746,51.519331,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,2,"środa","01","Afternoon",1,18420.7066869478
-0.056612,51.519912,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"środa","01","Afternoon",1,6344.08391340378
-0.149137,51.591371,"0","Fine no high winds","Daylight","Dry",20,"Urban",1,1,"środa","01","Afternoon",1,10282.1348910687
-0.121937,51.620793,"0","Fine no high winds","Daylight","Dry",40,"Urban",2,2,"środa","01","Afternoon",1,13615.0737501648
-0.100324,51.54329,"0","Fine no high winds","Darkness - lights lit","Dry",20,"Urban",1,1,"środa","01","Afternoon",1,5697.40853554479
-0.413093,51.560885,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"środa","01","Afternoon",1,20002.2273930671
-0.275983,51.615693,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,1,"środa","01","Evening",1,15955.3678445547
-0.214414,51.362171,"0","Other","Darkness - lights lit","Dry",40,"Urban",2,3,"środa","01","Afternoon",1,16054.638637027
0.123757,51.458869,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",3,2,"środa","01","Afternoon",1,18952.689480568
-0.36084,51.585705,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,2,"środa","01","Evening",1,17965.234011884
-0.083364,51.58312,"0","Raining no high winds","Darkness - lights unlit","Wet or damp",20,"Urban",1,2,"środa","01","Morning",1,10190.7820348881
0.085168,51.559652,"0","Fine no high winds","Darkness - lights lit","Dry",20,"Urban",2,2,"środa","01","Afternoon",1,17106.0656033024
-0.19059,51.430869,"0","Fine no high winds","Daylight","Dry",30,"Urban",2,2,"środa","01","Afternoon",1,8314.81302128044
0.18199,51.463465,"0","Fine no high winds","Darkness - lights lit","Wet or damp",40,"Urban",1,2,"środa","01","Night",1,22799.7379706776
-0.471053,51.583416,"0","Raining no high winds","Darkness - no lighting","Wet or damp",50,"Rural",1,3,"środa","01","Afternoon",1,24647.7609910148
-0.159904,51.435518,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,1,"środa","01","Evening",1,7189.34920135888
-0.247818,51.615636,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,1,"środa","01","Evening",1,14900.3463627416
-0.122182,51.555332,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"środa","01","Evening",1,6404.70581417238
-0.114725,51.393613,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,1,"środa","01","Evening",1,11894.5016143593
-0.177667,51.412144,"0","Fine no high winds","Darkness - no lighting","Frost or ice",30,"Urban",3,1,"czwartek","01","Night",1,9995.0954066884
-0.323613,51.479338,"0","Other","Darkness - lights lit","Frost or ice",30,"Urban",1,1,"czwartek","01","Night",1,12788.7051718891
-0.21317,51.486341,"0","Fine no high winds","Darkness - lights lit","Frost or ice",30,"Urban",1,1,"czwartek","01","Night",1,5142.6330761169
-0.139537,51.511814,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",2,2,"czwartek","01","Night",1,1422.72928153198
0.068439,51.547089,"0","Fine no high winds","Darkness - lights lit","Wet or damp",50,"Urban",2,3,"czwartek","01","Night",1,15514.335118681
-0.148403,51.353412,"0","Other","Darkness - lighting unknown","Dry",30,"Urban",1,1,"czwartek","01","Morning",1,16226.0202350492
-0.154018,51.36735,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",3,2,"niedziela","01","Night",1,14692.3304713448
-0.083547,51.585641,"0","Fine no high winds","Darkness - lights unlit","Dry",20,"Urban",2,1,"czwartek","01","Morning",1,10443.9479870649
0.024843,51.549469,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,2,"czwartek","01","Morning",1,12835.013248974
0.152472,51.454209,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"czwartek","01","Morning",1,21010.7378665816
-0.070221,51.5526,"0","Fine no high winds","Daylight","Dry",20,"Urban",1,1,"czwartek","01","Morning",1,7750.4257544304
0.011894,51.517498,"0","Fine no high winds","Darkness - lights lit","Data missing or out of range",30,"Urban",1,2,"poniedziałek","01","Afternoon",1,10847.9802589346
-0.015361,51.573537,"0","Fog or mist","Darkness - lights lit","Frost or ice",30,"Urban",1,2,"czwartek","01","Morning",1,12056.6025888782
-0.100454,51.585197,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Morning",1,10002.2218908497
-0.469916,51.505529,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,2,"czwartek","01","Morning",1,22743.3294554797
0.117682,51.554573,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,2,"czwartek","01","Morning",1,19006.0261454748
-0.381294,51.489411,"0","Fine no high winds","Daylight","Frost or ice",30,"Urban",3,2,"czwartek","01","Morning",1,16629.1813691904
-0.143866,51.522314,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Morning",1,2586.13137073247
-0.241522,51.393246,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"czwartek","01","Morning",1,13663.8606852557
-0.287059,51.382499,"0","Fine no high winds","Daylight","Dry",30,"Urban",2,2,"czwartek","01","Morning",1,16432.4429184101
-0.332035,51.58395,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"czwartek","01","Morning",1,16203.0079543876
-0.2269,51.540775,"0","Other","Daylight","Frost or ice",30,"Urban",1,1,"czwartek","01","Morning",1,7496.70642800364
-0.046027,51.373063,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Morning",1,15528.4298942859
-0.007575,51.533747,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,2,"czwartek","01","Morning",1,10069.8265459862
-0.121453,51.559008,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Morning",1,6815.37881146558
-0.074807,51.399439,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,2,"czwartek","01","Morning",1,12031.7465403829
0.183718,51.568922,"0","Fine no high winds","Daylight","Dry",30,"Urban",2,2,"czwartek","01","Morning",1,23846.985350162
-0.200772,51.508543,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,1,"czwartek","01","Morning",1,4214.55748397545
-0.110795,51.562074,"0","Fine no high winds","Daylight","Dry",20,"Urban",1,1,"czwartek","01","Morning",1,7331.31740446218
-0.259202,51.552139,"0","Fine no high winds","Daylight","Frost or ice",30,"Urban",1,2,"czwartek","01","Morning",1,10044.0197746817
0.181804,51.592249,"0","Fine no high winds","Daylight","Dry",30,"Urban",3,2,"czwartek","01","Morning",1,24689.3317043514
0.231167,51.568388,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,1,"poniedziałek","01","Afternoon",1,26957.6404479157
-0.319628,51.560304,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Afternoon",1,14069.3500123763
0.026988,51.487381,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"czwartek","01","Morning",1,11775.5723723973
0.144769,51.538524,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Afternoon",1,20333.7942111971
-0.106294,51.381966,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Morning",1,13272.5703500693
-0.004864,51.631989,"0","Fine no high winds","Darkness - lights lit","Frost or ice",30,"Urban",1,1,"środa","01","Evening",1,17568.6971204072
-0.059269,51.409883,"0","Fine no high winds","Daylight","Wet or damp",30,"Urban",1,1,"czwartek","01","Afternoon",1,11467.249432163
-0.42318,51.569564,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"czwartek","01","Afternoon",1,20999.2043313204
-0.117431,51.338171,"0","Fine no high winds","Daylight","Dry",30,"Urban",2,2,"czwartek","01","Afternoon",1,17996.4092262084
-0.119527,51.500794,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"czwartek","01","Afternoon",1,1559.19571103211
-0.016683,51.450268,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Afternoon",1,10242.3248515345
0.051406,51.492262,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Afternoon",1,13416.2537894856
-0.28762,51.382867,"0","Other","Daylight","Wet or damp",30,"Urban",1,2,"czwartek","01","Afternoon",1,16424.0157355964
-0.05168,51.513895,"0","Fine no high winds","Darkness - lights lit","Frost or ice",30,"Urban",1,2,"czwartek","01","Afternoon",1,6461.68496633472
0.030606,51.487768,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,2,"czwartek","01","Afternoon",1,12020.1597811659
-0.353601,51.494421,"0","Fine no high winds","Darkness - lights lit","Dry",70,"Urban",1,2,"czwartek","01","Afternoon",1,14683.2401098071
0.177049,51.480644,"0","Fine no high winds","Darkness - lights lit","Wet or damp",50,"Urban",1,3,"czwartek","01","Afternoon",1,22200.4125050945
-0.072064,51.584104,"0","Fine no high winds","Darkness - lights lit","Wet or damp",20,"Urban",1,2,"czwartek","01","Afternoon",1,10623.6481865846
-0.149135,51.477704,"0","Fine no high winds","Daylight","Dry",30,"Urban",1,1,"środa","01","Afternoon",1,2436.24099837173
0.06789,51.550876,"0","Fine no high winds","Darkness - lights lit","Wet or damp",50,"Urban",1,2,"czwartek","01","Afternoon",1,15628.5333830776
-0.010499,51.565901,"0","Fine no high winds","Daylight","Dry",20,"Urban",2,2,"czwartek","01","Afternoon",1,11748.4065362996
